location,user,type_of_access,total_files,total_size
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,1,512
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,1,65536
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,0,0
tikgpu03,jlauer,wr,99,207618048
tikgpu08,fgroetschla,wr,1,64
tikgpu08,fgroetschla,wr,45,5760
tikgpu08,fgroetschla,wr,0,0
tikgpu08,fgroetschla,wr,4,2048
tikgpu08,fgroetschla,wr,12,12288
tikgpu08,fgroetschla,wr,30,61440
tikgpu08,fgroetschla,wr,90,368640
tikgpu08,fgroetschla,wr,47,385024
tikgpu08,fgroetschla,wr,0,0
tikgpu08,fgroetschla,wr,0,0
tikgpu08,fgroetschla,wr,18,1179648
tikgpu10,fgroetschla,wr,16,2048
tikgpu10,fgroetschla,wr,16,4096
tikgpu10,fgroetschla,wr,30,15360
tikgpu10,fgroetschla,wr,62,63488
tikgpu10,fgroetschla,wr,141,288768
tikgpu10,fgroetschla,wr,205,839680
tikgpu10,fgroetschla,wr,7,57344
tikgpu10,fgroetschla,wr,0,0
tikgpu10,fgroetschla,wr,0,0
tikgpu10,fgroetschla,wr,12,786432
snowflake01,hodl_001fs25,wr,534,2136
snowflake01,hodl_001fs25,wr,0,0
snowflake01,hodl_001fs25,wr,0,0
snowflake01,hodl_001fs25,wr,0,0
snowflake01,hodl_001fs25,wr,3,192
snowflake01,hodl_001fs25,wr,10,1280
snowflake01,hodl_001fs25,wr,18,4608
snowflake01,hodl_001fs25,wr,44,22528
snowflake01,hodl_001fs25,wr,64,65536
snowflake01,hodl_001fs25,wr,132,270336
snowflake01,hodl_001fs25,wr,258,1056768
snowflake01,hodl_001fs25,wr,75,614400
snowflake01,hodl_001fs25,wr,23,376832
snowflake01,hodl_001fs25,wr,25,819200
snowflake01,hodl_001fs25,wr,1,65536
snowflake01,hodl_001fs25,wr,0,0
snowflake01,hodl_001fs25,wr,0,0
snowflake01,hodl_001fs25,wr,0,0
snowflake01,hodl_001fs25,wr,166,174063616
tikgpu05,jborrell,wr,218,6976
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,1,128
tikgpu05,jborrell,wr,224,57344
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,3,6144
tikgpu05,jborrell,wr,2,8192
tikgpu05,jborrell,wr,1,8192
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,186,12189696
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,0,0
tikgpu05,jborrell,wr,1,524288
tikgpu05,jborrell,wr,6,6291456
tikgpu05,jborrell,wr,854,1790967808
tikgpu04,mungersboeck,wr,4,1024
tikgpu04,mungersboeck,wr,41,20992
tikgpu04,mungersboeck,wr,122,124928
tikgpu04,mungersboeck,wr,302,618496
tikgpu04,mungersboeck,wr,689,2822144
tikgpu04,mungersboeck,wr,459,3760128
tikgpu04,mungersboeck,wr,281,4603904
tikgpu04,mungersboeck,wr,0,0
tikgpu04,mungersboeck,wr,0,0
tikgpu04,mungersboeck,wr,0,0
tikgpu04,mungersboeck,wr,0,0
tikgpu04,mungersboeck,wr,56,29360128
tikgpu04,mungersboeck,wr,30,31457280
tikgpu04,mungersboeck,wr,270,566231040
tikgpu10,sischoe,wr,2,2048
tikgpu10,sischoe,wr,1,2048
tikgpu10,sischoe,wr,0,0
tikgpu10,sischoe,wr,0,0
tikgpu10,sischoe,wr,1,16384
tikgpu10,sischoe,wr,0,0
tikgpu10,sischoe,wr,0,0
tikgpu10,sischoe,wr,0,0
tikgpu10,sischoe,wr,1,262144
tikgpu10,sischoe,wr,0,0
tikgpu10,sischoe,wr,1,1048576
tikgpu10,sischoe,wr,9784,20518535168
arton01,dellalia,wr,7,57344
arton01,dellalia,wr,5,81920
arton01,dellalia,wr,4,131072
arton01,dellalia,wr,9,589824
arton01,dellalia,wr,22,2883584
arton01,dellalia,wr,18,4718592
arton01,dellalia,wr,54,28311552
arton01,dellalia,wr,104,109051904
arton01,dellalia,wr,38023,79740010496
tikgpu10,donchu,wr,22,88
tikgpu10,donchu,wr,0,0
tikgpu10,donchu,wr,0,0
tikgpu10,donchu,wr,1,32
tikgpu10,donchu,wr,2,128
tikgpu10,donchu,wr,0,0
tikgpu10,donchu,wr,2,512
tikgpu10,donchu,wr,10,5120
tikgpu10,donchu,wr,116,118784
tikgpu10,donchu,wr,477,976896
tikgpu10,donchu,wr,970,3973120
tikgpu10,donchu,wr,534,4374528
tikgpu10,donchu,wr,647,10600448
tikgpu10,donchu,wr,651,21331968
tikgpu10,donchu,wr,1510,98959360
tikgpu10,donchu,wr,1895,248381440
tikgpu10,donchu,wr,1733,454295552
tikgpu10,donchu,wr,921,482869248
tikgpu10,donchu,wr,213,223346688
tikgpu10,donchu,wr,48431,101567168512
tikgpu08,donchu,wr,77,308
tikgpu08,donchu,wr,0,0
tikgpu08,donchu,wr,0,0
tikgpu08,donchu,wr,1,32
tikgpu08,donchu,wr,3,192
tikgpu08,donchu,wr,4,512
tikgpu08,donchu,wr,8,2048
tikgpu08,donchu,wr,13,6656
tikgpu08,donchu,wr,40,40960
tikgpu08,donchu,wr,98,200704
tikgpu08,donchu,wr,115,471040
tikgpu08,donchu,wr,94,770048
tikgpu08,donchu,wr,85,1392640
tikgpu08,donchu,wr,22,720896
tikgpu08,donchu,wr,3,196608
tikgpu08,donchu,wr,0,0
tikgpu08,donchu,wr,1,262144
tikgpu08,donchu,wr,46,24117248
tikgpu08,donchu,wr,39,40894464
tikgpu08,donchu,wr,282066,591535276032
